municipio,total_vitima,total,PIB,ano
AMERICANA,76.0,388.0,10287915.376695266,2016
ANGRA DOS REIS,281.0,125.0,9122561.156668963,2016
ANÁPOLIS,390.0,15.0,13118758.936031435,2016
APARECIDA DE GOIÂNIA,499.0,4.0,11980984.940095544,2016
ARACAJU,632.0,0.0,16498482.102414753,2016
ARAUCÁRIA,8.0,0.0,16978800.761296093,2016
BARUERI,125.0,505.0,47088301.57823254,2016
BAURU,271.0,648.0,13141085.57827856,2016
BELO HORIZONTE,1843.0,0.0,88277462.53067063,2016
BELÉM,1292.0,8.0,29426953.03211882,2016
BETIM,530.0,0.0,25144473.84070793,2016
BLUMENAU,127.0,158.0,15395367.346992757,2016
BRASÍLIA,2141.0,64.0,235497106.5871429,2016
CAJAMAR,33.0,189.0,13020610.327776289,2016
CAMAÇARI,357.0,105.0,21935897.201224484,2016
CAMPINAS,558.0,1337.0,58523732.727414876,2016
CAMPO GRANDE,1004.0,2950.0,25437928.173765875,2016
CAMPOS DOS GOYTACAZES,854.0,439.0,17283381.8555795,2016
CANOAS,383.0,104.0,19528538.257288482,2016
CASCAVEL,90.0,0.0,10785499.434128555,2016
CAXIAS DO SUL,454.0,64.0,21089905.330555737,2016
CONTAGEM,635.0,0.0,26487357.027247284,2016
COTIA,95.0,274.0,10991457.798166677,2016
CUBATÃO,141.0,144.0,17668001.459630538,2016
CUIABÁ,669.0,33.0,22203168.438298155,2016
CURITIBA,43.0,0.0,83788904.45280242,2016
DIADEMA,136.0,403.0,13229744.53042879,2016
DUQUE DE CAXIAS,1787.0,709.0,39857742.38638544,2016
EMBU DAS ARTES,123.0,213.0,10004646.902574588,2016
FEIRA DE SANTANA,564.0,224.0,13107354.002064398,2016
FLORIANÓPOLIS,323.0,214.0,18657157.00385061,2016
FORTALEZA,2107.0,0.0,60141145.195402384,2016
FOZ DO IGUAÇU,7.0,0.0,13387807.058994444,2016
FRANCA,103.0,920.0,9689018.813376432,2016
GOIÂNIA,1321.0,8.0,46659222.76345993,2016
